[18:28:22] [INFO] received Windows console close event; shutting log-core down
[18:30:04] [INFO] received Windows console close event; shutting log-core down
[18:41:07] [INFO] received Windows console close event; shutting log-core down
[18:45:54] [INFO] received Windows console close event; shutting log-core down
[18:50:58] [INFO] received Windows console close event; shutting log-core down
[18:52:47] [INFO] received Windows console close event; shutting log-core down
[18:53:58] [INFO] received Windows console close event; shutting log-core down
[18:54:47] [INFO] received Windows console close event; shutting log-core down
[18:55:20] [INFO] received Windows console close event; shutting log-core down
[18:56:51] [INFO] received Windows console close event; shutting log-core down
[18:56:58] [INFO] received Windows console close event; shutting log-core down
[18:57:01] [INFO] received Windows console close event; shutting log-core down
[19:00:27] [INFO] received Windows console close event; shutting log-core down
[19:01:10] [INFO] received Windows console close event; shutting log-core down
[19:02:08] [INFO] received Windows console close event; shutting log-core down
[19:02:52] [INFO] received Windows console close event; shutting log-core down
[19:02:55] [INFO] received Windows console close event; shutting log-core down
[19:03:02] [INFO] received Windows console close event; shutting log-core down
[19:04:30] [INFO] received Windows console close event; shutting log-core down
[19:14:58] [INFO] received Windows console close event; shutting log-core down
[19:16:14] [INFO] received Windows console close event; shutting log-core down
[19:18:32] [INFO] received Windows console close event; shutting log-core down
[19:19:25] [INFO] received Windows console close event; shutting log-core down
[19:23:54] [INFO] received Windows console close event; shutting log-core down
[19:26:18] [INFO] received Windows console close event; shutting log-core down
[19:27:05] [INFO] received Windows console close event; shutting log-core down
[19:29:54] [INFO] received Windows console close event; shutting log-core down
[19:30:01] [INFO] received Windows console close event; shutting log-core down
[19:30:28] [INFO] received Windows console close event; shutting log-core down
[19:32:01] [INFO] received Windows console close event; shutting log-core down
[19:32:50] [INFO] received Windows console close event; shutting log-core down
[19:35:05] [INFO] received Windows console close event; shutting log-core down
[19:36:02] [INFO] received Windows console close event; shutting log-core down
[19:36:32] [INFO] received Windows console close event; shutting log-core down
[19:37:07] [INFO] received Windows console close event; shutting log-core down
[19:37:53] [INFO] received Windows console close event; shutting log-core down
[19:39:24] [INFO] received Windows console close event; shutting log-core down
[19:48:40] [INFO] received Windows console close event; shutting log-core down
[19:52:37] [INFO] received Windows console close event; shutting log-core down
[20:21:35] [INFO] received Windows console close event; shutting log-core down
[20:21:40] [INFO] received Windows console close event; shutting log-core down
[20:41:15] [INFO] received Windows console close event; shutting log-core down
[22:29:00] [INFO] received Windows console close event; shutting log-core down
[22:37:27] [INFO] received Windows console close event; shutting log-core down
[22:44:52] [INFO] received Windows console close event; shutting log-core down
[22:44:55] [INFO] received Windows console close event; shutting log-core down
[22:52:55] [INFO] received Windows console close event; shutting log-core down
[22:56:13] [INFO] received Windows console close event; shutting log-core down
[22:58:35] [INFO] received Windows console close event; shutting log-core down
[01:32:52] [INFO] received Windows console close event; shutting log-core down
[02:24:02] [INFO] received Windows console close event; shutting log-core down
[02:24:59] [INFO] received Windows console close event; shutting log-core down
[02:25:27] [INFO] received Windows console close event; shutting log-core down
[02:27:50] [INFO] received Windows console close event; shutting log-core down
[02:31:17] [INFO] received Windows console close event; shutting log-core down
[02:33:52] [INFO] received Windows console close event; shutting log-core down
[02:33:58] [INFO] received Windows console close event; shutting log-core down
[02:38:36] [INFO] received Windows console close event; shutting log-core down
[02:40:04] [INFO] received Windows console close event; shutting log-core down
[02:40:15] [INFO] received Windows console close event; shutting log-core down
[02:40:25] [INFO] received Windows console close event; shutting log-core down
[02:48:05] [INFO] received Windows console close event; shutting log-core down
[13:15:32] [INFO] received Windows console close event; shutting log-core down
[13:24:00] [INFO] received Windows console close event; shutting log-core down
[13:35:48] [INFO] received Windows console close event; shutting log-core down
[13:45:01] [INFO] received Windows console close event; shutting log-core down
[13:48:55] [INFO] received Windows console close event; shutting log-core down
[13:52:20] [INFO] received Windows console close event; shutting log-core down
